device_id,f_steps_avg_length_active_bout_minutes_mo_wkdy_half_sem_2017-01-18,f_steps_avg_length_active_bout_minutes_mo_wkdy_half_sem_2017-03-01,f_steps_avg_length_sedentary_bout_minutes_mo_wkdy_half_sem_2017-01-18,f_steps_avg_length_sedentary_bout_minutes_mo_wkdy_half_sem_2017-03-01,f_steps_avg_step_active_bout_mo_wkdy_half_sem_2017-01-18,f_steps_avg_step_active_bout_mo_wkdy_half_sem_2017-03-01,f_steps_max_length_active_bout_minutes_mo_wkdy_half_sem_2017-01-18,f_steps_max_length_active_bout_minutes_mo_wkdy_half_sem_2017-03-01,f_steps_max_length_sedentary_bout_minutes_mo_wkdy_half_sem_2017-01-18,f_steps_max_length_sedentary_bout_minutes_mo_wkdy_half_sem_2017-03-01,f_steps_max_step_active_bout_mo_wkdy_half_sem_2017-01-18,f_steps_max_step_active_bout_mo_wkdy_half_sem_2017-03-01,f_steps_max_steps_mo_wkdy_half_sem_2017-01-18,f_steps_max_steps_mo_wkdy_half_sem_2017-03-01,f_steps_min_length_active_bout_minutes_mo_wkdy_half_sem_2017-01-18,f_steps_min_length_active_bout_minutes_mo_wkdy_half_sem_2017-03-01,f_steps_min_length_sedentary_bout_minutes_mo_wkdy_half_sem_2017-01-18,f_steps_min_length_sedentary_bout_minutes_mo_wkdy_half_sem_2017-03-01,f_steps_min_step_active_bout_mo_wkdy_half_sem_2017-01-18,f_steps_min_step_active_bout_mo_wkdy_half_sem_2017-03-01,f_steps_num_active_bout_mo_wkdy_half_sem_2017-01-18,f_steps_num_active_bout_mo_wkdy_half_sem_2017-03-01,f_steps_num_samples_steps_mo_wkdy_half_sem_2017-01-18,f_steps_num_samples_steps_mo_wkdy_half_sem_2017-03-01,f_steps_num_sedentary_bout_mo_wkdy_half_sem_2017-01-18,f_steps_num_sedentary_bout_mo_wkdy_half_sem_2017-03-01,f_steps_sum_steps_mo_wkdy_half_sem_2017-01-18,f_steps_sum_steps_mo_wkdy_half_sem_2017-03-01
5a6686fd-5017-4c17-9dd4-4081d5448b7d,24,23.0,26,34.0,956,913.0,210,235.0,180,610.0,14647,12547.0,892,873.0,5,5.0,5,5.0,10,10.0,213,280.0,2190,3285.0,212,281.0,204617,256865.0
5d02f383-d24c-4902-b728-1380c99105ee,13,12.0,112,146.0,441,392.0,45,35.0,710,1025.0,2596,2105.0,621,608.0,5,5.0,5,5.0,10,10.0,86,98.0,2190,3139.0,87,99.0,38465,39083.0
626aaffc-c174-48ca-a179-cab025b9bc98,14,13.0,60,73.0,385,293.0,90,55.0,405,565.0,3285,2461.0,625,604.0,5,5.0,5,5.0,10,10.0,146,175.0,2190,3066.0,146,176.0,57251,52474.0
649357ac-11ab-4fc7-acd2-816a3844d81b,16,16.0,49,60.0,661,496.0,135,75.0,220,895.0,10408,2122.0,765,582.0,5,5.0,5,5.0,10,10.0,166,214.0,2190,3285.0,167,215.0,110477,107206.0
64e25c38-ee68-4e06-8990-09ba71759cf1,11,11.0,75,111.0,276,280.0,40,45.0,320,775.0,1784,2219.0,501,543.0,5,5.0,5,5.0,10,10.0,125,130.0,2190,3212.0,126,131.0,35042,37152.0
65e91776-4319-4b41-ae66-28db6473fc60,18,17.0,65,62.0,655,544.0,95,150.0,435,680.0,6973,6513.0,880,862.0,5,5.0,5,5.0,10,10.0,130,201.0,2190,3212.0,130,202.0,85816,110324.0
65f4b507-b48a-416d-ac1f-2678e3f954d8,17,,102,,666,,35,,590,,1808,,589,,5,,5,,11,,48,,1168,,49,,32091,
66368d24-f87e-4db0-ab9d-c450c33becf3,15,19.0,51,62.0,403,480.0,50,180.0,800,560.0,1734,4583.0,598,624.0,5,5.0,5,5.0,10,10.0,126,200.0,1679,3285.0,126,201.0,51260,96859.0
66b66952-ae50-46c4-8f79-1d2117ac6691,12,15.0,48,58.0,438,565.0,70,85.0,210,815.0,2955,3692.0,561,577.0,5,5.0,5,5.0,10,10.0,177,158.0,2190,2336.0,177,158.0,78143,89951.0
687020d4-2b4c-483d-9124-ca34195f8af7,16,14.0,31,46.0,524,491.0,165,50.0,240,890.0,5227,4394.0,730,754.0,5,5.0,5,5.0,10,10.0,229,253.0,2190,3066.0,229,253.0,121029,125249.0
699a92cf-42b7-4a29-bd1b-edf43d06dd54,20,,138,,742,,110,,625,,4825,,558,,5,,5,,10,,39,,1241,,39,,29173,
69d0a3bb-40c8-42a8-838d-1bb275f28d1b,21,15.0,37,43.0,604,428.0,170,105.0,390,340.0,5706,3766.0,560,562.0,5,5.0,5,5.0,10,10.0,185,278.0,2190,3285.0,186,278.0,112722,120575.0
6afbdb8a-a1cf-4248-852a-24e56ee5766a,16,16.0,64,58.0,596,539.0,60,45.0,480,260.0,3426,2030.0,589,596.0,5,5.0,5,5.0,10,10.0,129,34.0,2117,511.0,130,34.0,77406,18469.0
6d73aa4b-1be4-426b-8d6b-c811bd2170fa,10,10.0,82,111.0,305,290.0,45,30.0,885,515.0,1392,1292.0,556,520.0,5,5.0,5,5.0,10,19.0,109,11.0,2044,292.0,109,12.0,33768,3261.0
6e12238e-2105-4bd3-be42-9b2ce1bf4946,14,12.0,88,88.0,426,366.0,65,50.0,395,555.0,1969,3008.0,599,548.0,5,5.0,5,5.0,10,10.0,107,163.0,2190,3285.0,107,164.0,46182,60430.0
6e60c67a-9bb0-4818-9625-1afe9788fe6b,15,14.0,32,40.0,550,532.0,75,85.0,170,680.0,2836,2969.0,641,653.0,5,5.0,5,5.0,10,10.0,227,298.0,2190,3285.0,227,298.0,125740,159548.0
6fb4842f-8beb-4539-8b18-e21d89d3254e,17,16.0,82,49.0,572,467.0,110,60.0,690,660.0,4540,4068.0,806,591.0,5,5.0,5,5.0,10,10.0,108,145.0,2190,1898.0,109,146.0,62153,68271.0
7230d0d5-fab8-4462-9952-69aee6866b04,19,17.0,63,61.0,706,648.0,80,75.0,450,880.0,3921,6463.0,592,815.0,5,5.0,5,5.0,10,10.0,132,133.0,2190,2117.0,133,134.0,93833,86794.0
7398824b-a04d-4252-afe8-d0f392a5cd48,15,18.0,44,45.0,511,673.0,65,120.0,195,780.0,2977,9892.0,641,872.0,5,5.0,5,5.0,10,10.0,182,256.0,2190,3285.0,183,256.0,93959,173371.0
74d297cd-82c9-47d5-ad51-e135504abb2f,16,,48,,469,,80,,575,,2472,,634,,5,,5,,10,,62,,803,,62,,29330,
785e9e8e-4ab0-4686-a95e-a25c6c2e2eee,14,12.0,79,163.0,490,381.0,40,35.0,320,785.0,2921,1597.0,649,624.0,5,5.0,5,5.0,10,10.0,117,55.0,2190,1971.0,117,56.0,57908,21404.0
79d3d50d-b736-43ba-8979-8ba6ff3d1e48,15,15.0,33,55.0,387,365.0,90,125.0,230,530.0,3203,3682.0,623,618.0,5,5.0,5,5.0,10,10.0,225,233.0,2190,3285.0,225,233.0,88151,86460.0
7afaa986-9de6-4efe-9057-3fa969b1760c,21,,148,,746,,105,,835,,5322,,635,,5,,5,,10,,42,,1460,,43,,31542,
811f021c-0ecf-4264-967d-f02f93c3d711,16,15.0,49,48.0,479,372.0,55,85.0,555,725.0,2121,3516.0,685,579.0,5,5.0,5,5.0,10,10.0,167,229.0,2190,2920.0,167,230.0,80957,86173.0
848429d2-612d-4b1c-82ff-e51dc40d3d07,14,15.0,36,34.0,500,433.0,70,70.0,160,445.0,2438,3198.0,667,668.0,5,5.0,5,5.0,10,10.0,211,333.0,2190,3285.0,212,333.0,106604,145654.0
85396fa9-14d7-47d6-9688-1771e6c3fa75,15,12.0,43,72.0,478,358.0,110,80.0,655,760.0,3948,2484.0,577,605.0,5,5.0,5,5.0,10,10.0,185,158.0,2190,2701.0,186,159.0,89100,57205.0
86f36925-3207-486e-9f7f-c229efaae9c0,13,11.0,145,266.0,325,291.0,65,45.0,765,1485.0,2053,1760.0,567,543.0,5,5.0,5,5.0,10,10.0,68,58.0,2190,3285.0,69,59.0,22673,17592.0
87046549-2960-43b1-b1b9-358aac851b8a,17,15.0,92,74.0,530,449.0,70,85.0,335,400.0,2210,4247.0,591,578.0,5,5.0,5,5.0,10,10.0,100,183.0,2190,3285.0,100,183.0,53459,83047.0
876f9317-9823-4ecb-9290-1b1cbd2ded3c,16,28.0,56,37.0,530,955.0,105,150.0,550,330.0,2500,5006.0,604,605.0,5,5.0,5,5.0,10,10.0,145,247.0,2117,3285.0,144,246.0,77685,237100.0
88d687ca-537d-4592-8691-22feeb116122,16,17.0,53,79.0,527,506.0,105,130.0,325,790.0,4746,5486.0,616,613.0,5,5.0,5,5.0,10,10.0,156,168.0,2190,3285.0,157,169.0,83012,86246.0
8cf6b2a5-ca26-48cd-86e0-d3eca61d264b,18,,65,,543,,75,,370,,2379,,545,,5,,10,,11,,13,,219,,13,,7096,
924b4f99-c800-4f5f-9159-8b47a317ef34,13,12.0,58,55.0,440,408.0,45,60.0,330,580.0,2214,2178.0,697,687.0,5,5.0,5,5.0,10,10.0,150,239.0,2190,3285.0,151,240.0,66679,98685.0
94aac48e-7cbb-4a8c-b47a-052d28eefa5a,15,15.0,43,57.0,435,328.0,120,115.0,375,1225.0,5824,4518.0,836,557.0,5,5.0,5,5.0,10,10.0,148,181.0,1752,2628.0,149,181.0,65294,60364.0
94c99ead-4f3e-4c68-8f51-08af25c64920,17,14.0,55,52.0,500,187.0,85,75.0,430,410.0,2683,1270.0,534,243.0,5,5.0,5,5.0,10,11.0,126,32.0,1825,438.0,126,33.0,63492,6095.0
95940265-9599-4ab5-bccf-b7d64e75f3f6,15,17.0,39,48.0,401,425.0,85,110.0,285,685.0,2007,5534.0,589,571.0,5,5.0,5,5.0,10,10.0,199,227.0,2190,2993.0,200,228.0,80977,97961.0
9a035626-2e6c-4aa5-a6cb-e47403a39d00,14,15.0,70,79.0,476,481.0,55,120.0,510,505.0,1697,4081.0,586,597.0,5,5.0,5,5.0,10,10.0,128,173.0,2190,3285.0,129,173.0,61714,84150.0
9bb46002-6fdb-4287-bfd3-bc3e2e57785f,20,18.0,45,45.0,763,670.0,95,145.0,360,930.0,9986,8835.0,872,869.0,5,5.0,5,5.0,10,10.0,165,242.0,2190,3139.0,165,243.0,126586,163047.0
9d37754d-fb9f-46cf-a2a8-1232f3ad1071,15,12.0,78,83.0,266,382.0,25,45.0,265,540.0,1166,1487.0,526,634.0,5,5.0,5,5.0,65,10.0,7,71.0,146,1387.0,8,72.0,1875,27477.0
9e7d28be-3a29-406b-b3e3-d2fd2414605c,14,18.0,52,67.0,420,663.0,90,130.0,280,475.0,3067,7862.0,610,803.0,5,5.0,5,5.0,10,10.0,162,191.0,2190,3285.0,163,191.0,68639,127445.0
a2952ecb-5ee6-454a-81a6-16e908ee2e18,17,17.0,70,101.0,534,517.0,85,80.0,420,730.0,2116,2701.0,615,604.0,5,5.0,5,5.0,10,10.0,124,138.0,2190,3285.0,125,138.0,66703,71942.0
a36f9b21-57f2-46ef-bb33-a65e0c2b642c,16,14.0,41,46.0,400,340.0,55,70.0,165,270.0,2806,1761.0,555,557.0,5,5.0,5,5.0,10,10.0,189,267.0,2190,3285.0,190,267.0,76468,91913.0
a3aa60d3-8acb-4e7b-b324-ac85c6c074d2,17,17.0,43,41.0,530,502.0,90,80.0,565,495.0,2911,6633.0,592,710.0,5,5.0,5,5.0,10,10.0,124,280.0,1533,3285.0,125,280.0,66407,142143.0
a5ea9d2e-766c-4a6b-87b2-8bc4fe445a63,14,15.0,144,76.0,435,423.0,60,65.0,1305,870.0,2670,2815.0,639,641.0,5,5.0,5,5.0,10,10.0,61,94.0,1971,1752.0,62,95.0,26944,40274.0
a8ba94f4-d3e6-452c-adf8-4d1e0984a6d1,27,27.0,38,43.0,969,867.0,130,145.0,270,465.0,5862,5477.0,609,613.0,5,5.0,5,5.0,10,10.0,165,232.0,2190,3285.0,166,232.0,160396,202037.0
a9836b94-4e9e-498f-aa65-0cd76d330641,16,17.0,58,61.0,659,674.0,55,55.0,280,570.0,2104,4086.0,655,627.0,5,5.0,5,5.0,10,10.0,144,210.0,2190,3285.0,145,210.0,95680,142599.0
ad5083ca-82c9-435b-9776-03837a5aed8c,15,15.0,45,55.0,405,311.0,85,105.0,305,315.0,5872,2490.0,817,603.0,5,5.0,5,5.0,10,10.0,179,232.0,2190,3285.0,179,233.0,73318,73185.0
ad6f1e0f-32ef-4b74-9c04-876609ba1e55,10,10.0,52,45.0,323,338.0,35,25.0,510,255.0,1949,1472.0,691,655.0,5,5.0,5,5.0,10,10.0,97,32.0,1241,365.0,98,33.0,31688,10930.0
afeb5dcc-28b1-4088-9942-3e24bc05508d,25,19.0,48,56.0,738,592.0,170,80.0,240,375.0,4951,2457.0,626,629.0,5,5.0,5,5.0,10,10.0,147,214.0,2190,3285.0,148,215.0,109203,127379.0
b1ea5753-4aac-464c-996b-52c418e5782c,12,12.0,58,58.0,379,359.0,50,65.0,275,340.0,1938,2465.0,600,776.0,5,5.0,5,5.0,10,10.0,154,232.0,2190,3285.0,154,232.0,59308,84599.0
b24dc8d4-e952-4d4a-bbd8-0841ea7d87ee,17,13.0,48,168.0,553,244.0,55,50.0,305,1490.0,3039,1641.0,606,569.0,5,5.0,5,5.0,10,10.0,143,33.0,1898,1241.0,144,34.0,79920,8195.0
b36df7c0-cf05-42de-9ed6-704c2f02e3da,11,10.0,146,101.0,299,140.0,40,35.0,895,575.0,1702,995.0,601,469.0,5,5.0,5,5.0,10,10.0,52,26.0,1679,584.0,53,26.0,15882,3789.0
b771f307-fb8e-49e2-a533-2b4145073203,16,14.0,42,43.0,565,443.0,120,75.0,180,490.0,6990,3242.0,779,615.0,5,5.0,5,5.0,10,10.0,186,284.0,2190,3285.0,186,284.0,106078,127294.0
b8484a00-842a-4aa3-a008-07dc9580bb3a,17,16.0,63,55.0,658,552.0,75,105.0,290,345.0,6524,6365.0,891,881.0,5,5.0,5,5.0,10,10.0,134,228.0,2190,3285.0,135,228.0,88888,127085.0
b9c40632-ca4b-4b45-8f61-99e146c671b6,15,17.0,46,86.0,581,512.0,80,145.0,240,1465.0,4883,6321.0,837,832.0,5,5.0,5,5.0,10,10.0,175,157.0,2190,3285.0,176,158.0,102627,81318.0
bb3effb0-4439-4ace-b82e-0c779734431a,13,14.0,36,45.0,359,354.0,50,170.0,485,630.0,2173,3123.0,587,578.0,5,5.0,5,5.0,10,10.0,218,246.0,2190,2993.0,218,247.0,79565,88364.0
bedd078a-f665-46f2-bdc5-ab3535a4708e,15,13.0,55,58.0,420,320.0,65,100.0,620,770.0,1477,1848.0,574,579.0,5,5.0,5,5.0,10,10.0,153,227.0,2190,3285.0,154,228.0,64971,73624.0
c180cf15-e68a-4136-9b03-c33220dc5738,19,20.0,52,65.0,674,711.0,75,145.0,220,805.0,3784,8377.0,602,786.0,5,5.0,5,5.0,10,10.0,152,189.0,2190,3285.0,152,189.0,103148,135286.0
c24ab734-cf32-40d2-a0d5-25c363984387,13,12.0,62,79.0,493,301.0,50,45.0,370,735.0,3190,1724.0,577,530.0,5,5.0,5,5.0,10,10.0,119,106.0,1825,1971.0,120,107.0,59179,32465.0
c3371eb6-e365-456e-b90a-b3f7fdcdfc26,13,,135,,539,,45,,1260,,2662,,637,,5,,5,,10,,27,,803,,27,,14649,
c7650b38-6fb9-4305-bf13-d4f8a40b4dbe,11,,52,,355,,45,,330,,2935,,607,,5,,5,,10,,118,,1533,,119,,42347,
cb952516-48ff-4504-a9e6-080161ee7f8d,15,19.0,56,69.0,358,464.0,90,105.0,610,515.0,2074,3930.0,588,556.0,5,5.0,5,5.0,10,10.0,147,106.0,2117,1898.0,148,107.0,53483,49875.0
ccb6e01b-3dc3-4f63-b1dc-f028fce9463f,17,18.0,92,64.0,644,425.0,75,90.0,330,990.0,5325,3652.0,852,849.0,5,5.0,5,5.0,10,10.0,89,87.0,1971,1460.0,90,88.0,57749,37383.0
cd031b30-d6b4-479f-877f-7a8467135ea4,15,15.0,39,43.0,534,515.0,110,75.0,235,265.0,5131,2776.0,635,657.0,5,5.0,5,5.0,10,10.0,198,278.0,2190,3285.0,199,279.0,106846,144703.0
