device_id,f_batt_num_rows_battery_ni_sem_2017-01-18,f_batt_length_of_charge_minutes_ni_sem_2017-01-18
4de0beb1-cfa8-4410-809d-d05322b1a0c8,85.0,77550.9
4e20289a-32ca-47be-a2c5-f0bd66ab9176,29.0,25618.0
5542666d-5bf4-4a1b-b17c-e3580c4cd773,79.0,55543.8
5792d203-ec62-4b40-b0a2-29969224e3fb,84.0,22033.3
5a5e44dd-1b8f-4c26-ba16-65593a8b59eb,43.0,30789.9
5a6686fd-5017-4c17-9dd4-4081d5448b7d,5.0,4564.13
5d02f383-d24c-4902-b728-1380c99105ee,189.0,-99120500.0
626aaffc-c174-48ca-a179-cab025b9bc98,34.0,26368.2
649357ac-11ab-4fc7-acd2-816a3844d81b,27.0,127747.0
64e25c38-ee68-4e06-8990-09ba71759cf1,130.0,38572.0
65e91776-4319-4b41-ae66-28db6473fc60,77.0,33190.8
65f4b507-b48a-416d-ac1f-2678e3f954d8,38.0,75878.1
66368d24-f87e-4db0-ab9d-c450c33becf3,68.0,70476.6
66b66952-ae50-46c4-8f79-1d2117ac6691,21.0,-24785000.0
687020d4-2b4c-483d-9124-ca34195f8af7,10.0,4436.1
699a92cf-42b7-4a29-bd1b-edf43d06dd54,446.0,19556.8
69d0a3bb-40c8-42a8-838d-1bb275f28d1b,36.0,14598.3
6afbdb8a-a1cf-4248-852a-24e56ee5766a,85.0,53094.3
6d73aa4b-1be4-426b-8d6b-c811bd2170fa,44.0,12763.6
6e12238e-2105-4bd3-be42-9b2ce1bf4946,48.0,14788.8
6e60c67a-9bb0-4818-9625-1afe9788fe6b,19.0,25606.1
6fb4842f-8beb-4539-8b18-e21d89d3254e,54.0,70856.2
7230d0d5-fab8-4462-9952-69aee6866b04,62.0,52812.1
7398824b-a04d-4252-afe8-d0f392a5cd48,28.0,26703.1
785e9e8e-4ab0-4686-a95e-a25c6c2e2eee,67.0,21139.0
79d3d50d-b736-43ba-8979-8ba6ff3d1e48,58.0,25718.0
7afaa986-9de6-4efe-9057-3fa969b1760c,30.0,6504.67
811f021c-0ecf-4264-967d-f02f93c3d711,14.0,901.229
81443789-41c5-4277-9bbb-55336120c0c9,57.0,37666.6
848429d2-612d-4b1c-82ff-e51dc40d3d07,27.0,10058.9
85396fa9-14d7-47d6-9688-1771e6c3fa75,45.0,42102.8
86f36925-3207-486e-9f7f-c229efaae9c0,2.0,34.6873
87046549-2960-43b1-b1b9-358aac851b8a,28.0,11610.3
876f9317-9823-4ecb-9290-1b1cbd2ded3c,34.0,42042.2
88d687ca-537d-4592-8691-22feeb116122,20.0,5719.54
8cf6b2a5-ca26-48cd-86e0-d3eca61d264b,330.0,12596.1
8e0a48eb-c371-4932-82ab-d9458c31b77c,105.0,41770.6
924b4f99-c800-4f5f-9159-8b47a317ef34,131.0,26019.6
94aac48e-7cbb-4a8c-b47a-052d28eefa5a,32.0,55636.0
94c99ead-4f3e-4c68-8f51-08af25c64920,69.0,66404.6
95940265-9599-4ab5-bccf-b7d64e75f3f6,57.0,20342.6
9a035626-2e6c-4aa5-a6cb-e47403a39d00,340.0,20845.9
9bb46002-6fdb-4287-bfd3-bc3e2e57785f,5.0,271.831
