device_id,BREAKPOINT_f_call_duration_incoming_calls_seconds_af_wkdy_week,BREAKPOINT_f_call_duration_outgoing_calls_seconds_af_wkdy_week,BREAKPOINT_f_call_number_incoming_calls_af_wkdy_week,BREAKPOINT_f_call_number_missed_calls_af_wkdy_week,BREAKPOINT_f_call_number_of_correspondents_phone_af_wkdy_week,BREAKPOINT_f_call_number_outgoing_calls_af_wkdy_week,BREAKPOINT_f_call_number_rows_calls_af_wkdy_week,SLOPE_AFTER_BPT_f_call_duration_incoming_calls_seconds_af_wkdy_week,SLOPE_AFTER_BPT_f_call_duration_outgoing_calls_seconds_af_wkdy_week,SLOPE_AFTER_BPT_f_call_number_incoming_calls_af_wkdy_week,SLOPE_AFTER_BPT_f_call_number_missed_calls_af_wkdy_week,SLOPE_AFTER_BPT_f_call_number_of_correspondents_phone_af_wkdy_week,SLOPE_AFTER_BPT_f_call_number_outgoing_calls_af_wkdy_week,SLOPE_AFTER_BPT_f_call_number_rows_calls_af_wkdy_week,SLOPE_ALL_duration_incoming_calls_seconds_f_call_af_wkdy_week,SLOPE_ALL_duration_outgoing_calls_seconds_f_call_af_wkdy_week,SLOPE_ALL_number_incoming_calls_f_call_af_wkdy_week,SLOPE_ALL_number_missed_calls_f_call_af_wkdy_week,SLOPE_ALL_number_of_correspondents_phone_f_call_af_wkdy_week,SLOPE_ALL_number_outgoing_calls_f_call_af_wkdy_week,SLOPE_ALL_number_rows_calls_f_call_af_wkdy_week,SLOPE_BEFORE_BPT_f_call_duration_incoming_calls_seconds_af_wkdy_week,SLOPE_BEFORE_BPT_f_call_duration_outgoing_calls_seconds_af_wkdy_week,SLOPE_BEFORE_BPT_f_call_number_incoming_calls_af_wkdy_week,SLOPE_BEFORE_BPT_f_call_number_missed_calls_af_wkdy_week,SLOPE_BEFORE_BPT_f_call_number_of_correspondents_phone_af_wkdy_week,SLOPE_BEFORE_BPT_f_call_number_outgoing_calls_af_wkdy_week,SLOPE_BEFORE_BPT_f_call_number_rows_calls_af_wkdy_week,SLOPE_FIRST_f_call_duration_incoming_calls_seconds_af_wkdy_week,SLOPE_FIRST_f_call_duration_outgoing_calls_seconds_af_wkdy_week,SLOPE_FIRST_f_call_number_incoming_calls_af_wkdy_week,SLOPE_FIRST_f_call_number_missed_calls_af_wkdy_week,SLOPE_FIRST_f_call_number_of_correspondents_phone_af_wkdy_week,SLOPE_FIRST_f_call_number_outgoing_calls_af_wkdy_week,SLOPE_FIRST_f_call_number_rows_calls_af_wkdy_week,SLOPE_SECOND_f_call_duration_incoming_calls_seconds_af_wkdy_week,SLOPE_SECOND_f_call_duration_outgoing_calls_seconds_af_wkdy_week,SLOPE_SECOND_f_call_number_incoming_calls_af_wkdy_week,SLOPE_SECOND_f_call_number_missed_calls_af_wkdy_week,SLOPE_SECOND_f_call_number_of_correspondents_phone_af_wkdy_week,SLOPE_SECOND_f_call_number_outgoing_calls_af_wkdy_week,SLOPE_SECOND_f_call_number_rows_calls_af_wkdy_week
1e6cee1a-1bce-45b5-9cef-eab3084a5187,,2017-04-19,2017-04-19,2017-03-15,2017-04-19,2017-04-19,2017-04-19,,5.42857,0.428571,0.0918367,0.857143,0.714286,2.42857,0.0,0.188137,-0.00383953,0.0425659,0.0387263,0.0301205,0.107242,,0.173892,-0.0133005,0.0285714,0.0311576,0.0295567,0.0887931,0.0,0.741758,-0.0384615,0.0824176,0.043956,0.0549451,0.142857,0.0,0.430272,0.0102041,0.0833333,0.0935374,0.0561224,0.256803
209854a0-471d-42fa-856f-54b5d1948481,2017-03-29,2017-03-29,2017-02-22,2017-02-01,2017-02-01,2017-04-12,2017-02-01,-142.414,-14.2286,-0.0047619,0.00501672,0.0260392,-1.0,0.0296226,4.68303,-1.77502,0.00831601,-0.00757351,0.00853876,-0.0013365,-0.000594001,0.893071,-2.17194,0.0357143,,,-0.0132675,,28.2809,7.9201,0.0556901,-0.0532688,-0.0145278,-0.0169492,-0.0145278,4.1908,1.10812,0.00880626,0.00831703,0.0366928,0.0577299,0.0748532
24f7d497-1c92-4372-976d-81dd15d7b1fb,,2017-04-12,2017-04-19,2017-04-12,2017-04-19,2017-04-19,2017-04-19,,2.85714,-0.714286,0.285714,-0.428571,-0.571429,-1.28571,0.0,1.30612,0.0255102,0.0918367,0.117347,0.102041,0.346939,,1.62857,0.0285714,0.1,0.0714286,0.114286,0.271429,,,,,,,,0.0,1.30612,0.0255102,0.0918367,0.117347,0.102041,0.346939
2dd9d631-d2d5-4afa-9d1f-0a3eac129ec0,2017-03-01,2017-03-29,2017-03-01,2017-03-01,2017-03-01,2017-03-29,2017-03-01,3.11232,-69.4286,0.0196292,0.0207197,0.0392585,-0.214286,0.0861505,-0.997298,8.31958,-0.0169339,0.00198162,-0.018285,0.0159431,0.000990812,-6.04286,-2.05375,-0.0428571,0.0285714,-0.0571429,-0.0328854,0.0428571,-6.04286,18.5143,-0.0428571,0.0285714,-0.0571429,0.0571429,0.0428571,3.11232,9.51036,0.0196292,0.0207197,0.0392585,0.0458015,0.0861505
2ef2702c-0c30-40d8-91c0-35ad8829465b,2017-02-01,2017-02-08,2017-04-19,2017-02-15,2017-04-05,2017-02-08,2017-02-08,-0.898106,-14.4291,-0.714286,-0.0195218,0.228571,-0.0165034,-0.0268179,-0.334946,-3.76307,0.00581348,0.0210586,0.0181316,0.0011383,0.0280104,3.0,6.5,-0.00909816,0.142857,0.0039916,0.142857,0.285714,-1.22449,40.6612,0.0163265,0.17551,0.17551,0.114286,0.306122,1.01437,4.83744,0.0258621,0.0369458,0.091133,0.0500821,0.11289
2fb7fbc1-068f-4a54-a8ee-a41c99d0f7da,,2017-02-01,2017-02-08,2017-03-29,2017-03-29,2017-03-29,2017-03-29,,1.05757,0.013485,0.22449,0.293878,0.208163,0.726531,0.0,0.602303,-0.00191906,0.0610713,0.0591522,0.0415985,0.140148,,,0.0,0.00510204,-0.0102041,-0.0102041,-0.0187075,0.0,-2.4,-0.0857143,0.0285714,-0.0571429,-0.0857143,-0.142857,0.0,1.57389,0.00492611,0.110837,0.115764,0.0812808,0.268473
318f91af-9b11-42f5-bdcd-7c9e35761da5,,2017-01-25,2017-02-08,2017-01-25,2017-02-15,2017-03-15,2017-02-15,,-0.308559,0.0170068,-0.0162961,0.00694893,0.0,0.00872657,0.0,-0.247284,0.00324307,-0.0110264,-0.00778336,-0.011675,-0.0228636,,,0.0,,-0.0714286,-0.0212215,-0.102041,0.0,-0.167774,-0.0581395,-0.00332226,-0.0614618,-0.0116279,-0.112957,0.0,0.0,0.000368189,0.0,0.000368189,0.0,0.000736377
31c395a9-0128-46df-a90c-73160f0854b4,,2017-04-19,2017-02-15,2017-04-12,2017-02-15,2017-04-19,2017-02-15,,-7.85714,-0.0406404,-0.142857,-0.0705489,-0.428571,-0.172942,0.0,-0.00694043,-0.0106998,-0.0112782,-0.021978,-0.00462695,-0.0468479,,0.0416704,0.0306122,-0.00115207,-0.0510204,0.00276613,-0.142857,0.0,0.0714286,0.157143,0.0285714,0.185714,0.0571429,0.457143,0.0,-0.015444,0.00900901,-0.01287,-0.003861,-0.002574,-0.0148005
32d4b802-7471-49bd-ad59-e663b0d98682,,2017-03-29,2017-03-08,2017-04-19,2017-02-22,2017-02-22,2017-02-22,,-1.21429,0.0714286,-0.428571,0.0753247,0.0450216,0.195671,0.0,0.17602,0.0362245,0.00867347,0.044898,0.0214286,0.117857,,0.203463,0.00510204,0.00784929,-0.0428571,0.0142857,-0.0285714,0.0,0.0367347,0.00816326,-0.044898,-0.0367347,-0.0163265,-0.0571429,0.0,0.0571429,0.0666667,0.00714286,0.0738095,0.0404762,0.188095
34944ff7-1853-4fec-8d7d-73fc52bfa824,2017-03-08,2017-02-15,2017-03-01,2017-04-12,2017-02-15,2017-03-08,2017-03-08,-6.39011,-3.12021,0.0119713,-0.0714286,-0.054007,0.021978,0.0274725,-0.0530781,-1.76243,-0.00730071,0.00651144,-0.0359116,-0.0422257,-0.043015,-2.2,,0.0,0.0,,-0.0857143,-0.157143,1.0,36.7143,0.0,0.0,0.285714,0.285714,0.285714,-1.87709,1.20591,0.0119713,0.00718276,0.0327215,0.0207502,0.0399042
36492618-666c-4b87-9770-bcb67d2ca3de,2017-04-19,2017-02-08,2017-03-15,2017-04-19,2017-03-08,2017-02-08,2017-02-08,512.0,-6.52903,-0.0306122,-0.428571,-0.0807453,-0.00737034,-0.0010919,5.45567,-3.7846,-0.00720288,0.00908935,-0.0142343,-0.0195507,-0.0176642,-13.0029,,0.00772201,-0.000222519,-0.0256065,,,-59.3163,9.66327,-0.0408163,0.0204082,-0.0510204,-0.102041,-0.122449,28.2909,1.431,-0.0272975,0.0157719,-0.055505,-0.0448893,-0.0564149
3698dbcf-6b9e-4b00-a15a-f2cb26e6639d,,2017-03-01,2017-04-12,2017-03-08,2017-04-12,2017-03-01,2017-03-01,,-0.739796,0.285714,-0.0306122,0.285714,-0.0459184,-0.0867347,0.0,-0.0836109,0.0119194,-0.0219982,-0.0100789,-0.0028922,-0.0293602,,0.653061,0.00776398,-0.0258176,-0.0144928,0.0408163,-0.0204082,0.0,0.653061,0.0,-0.0306122,-0.0306122,0.0408163,-0.0204082,0.0,-0.739796,0.0119048,-0.0272109,-0.0153061,-0.0459184,-0.0867347
38861b6b-d04b-4f1f-8c17-c3c0a9f0a221,,2017-02-08,2017-02-08,2017-04-12,2017-02-08,2017-02-08,2017-02-08,,-0.635508,-0.0383555,0.285714,-0.0548921,-0.0418006,-0.137345,0.0,-0.160519,-0.0107311,-0.0012296,-0.0119607,-0.0134138,-0.0280572,,0.571429,0.142857,-0.0210742,0.214286,0.142857,0.428571,0.0,2.7,0.142857,0.185714,0.328571,0.228571,0.771429,0.0,0.0966387,-0.0378151,0.0672269,0.0294118,0.0252101,0.0588235
38edf5e3-bd76-4ec3-b1fc-c134915743c7,,2017-03-22,2017-03-01,2017-03-22,2017-03-22,2017-03-22,2017-03-22,,-31.0476,-0.0510204,-1.28571,-1.28571,-1.2381,-3.7619,0.0,0.870968,-0.00460829,0.0587558,0.0541475,0.0437788,0.157834,,-3.18455,0.0,-0.1355,-0.116493,-0.0944206,-0.307787,0.0,-4.71429,0.0,-0.114286,-0.114286,-0.1,-0.271429,0.0,1.64626,-0.0510204,0.136054,0.085034,0.0442177,0.210884
