device_id,f_steps_avg_length_active_bout_minutes_af_wkend_half_sem_2017-01-18,f_steps_avg_length_active_bout_minutes_af_wkend_half_sem_2017-03-01,f_steps_avg_length_sedentary_bout_minutes_af_wkend_half_sem_2017-01-18,f_steps_avg_length_sedentary_bout_minutes_af_wkend_half_sem_2017-03-01,f_steps_avg_step_active_bout_af_wkend_half_sem_2017-01-18,f_steps_avg_step_active_bout_af_wkend_half_sem_2017-03-01,f_steps_max_length_active_bout_minutes_af_wkend_half_sem_2017-01-18,f_steps_max_length_active_bout_minutes_af_wkend_half_sem_2017-03-01,f_steps_max_length_sedentary_bout_minutes_af_wkend_half_sem_2017-01-18,f_steps_max_length_sedentary_bout_minutes_af_wkend_half_sem_2017-03-01,f_steps_max_step_active_bout_af_wkend_half_sem_2017-01-18,f_steps_max_step_active_bout_af_wkend_half_sem_2017-03-01,f_steps_max_steps_af_wkend_half_sem_2017-01-18,f_steps_max_steps_af_wkend_half_sem_2017-03-01,f_steps_min_length_active_bout_minutes_af_wkend_half_sem_2017-01-18,f_steps_min_length_active_bout_minutes_af_wkend_half_sem_2017-03-01,f_steps_min_length_sedentary_bout_minutes_af_wkend_half_sem_2017-01-18,f_steps_min_length_sedentary_bout_minutes_af_wkend_half_sem_2017-03-01,f_steps_min_step_active_bout_af_wkend_half_sem_2017-01-18,f_steps_min_step_active_bout_af_wkend_half_sem_2017-03-01,f_steps_num_active_bout_af_wkend_half_sem_2017-01-18,f_steps_num_active_bout_af_wkend_half_sem_2017-03-01,f_steps_num_samples_steps_af_wkend_half_sem_2017-01-18,f_steps_num_samples_steps_af_wkend_half_sem_2017-03-01,f_steps_num_sedentary_bout_af_wkend_half_sem_2017-01-18,f_steps_num_sedentary_bout_af_wkend_half_sem_2017-03-01,f_steps_sum_steps_af_wkend_half_sem_2017-01-18,f_steps_sum_steps_af_wkend_half_sem_2017-03-01
b9c40632-ca4b-4b45-8f61-99e146c671b6,17.0,19.0,25.0,38.0,481.0,471.0,170.0,100.0,230.0,310.0,5974.0,3590.0,714.0,593.0,5.0,5.0,5.0,5.0,10.0,10.0,101.0,113.0,876.0,1314.0,102.0,114.0,49123.0,53806.0
bb3effb0-4439-4ace-b82e-0c779734431a,17.0,19.0,18.0,32.0,449.0,532.0,120.0,235.0,175.0,560.0,4852.0,4328.0,621.0,587.0,5.0,5.0,5.0,5.0,10.0,10.0,122.0,112.0,876.0,1168.0,123.0,112.0,55308.0,60174.0
bedd078a-f665-46f2-bdc5-ab3535a4708e,23.0,18.0,23.0,35.0,469.0,436.0,165.0,115.0,165.0,405.0,4864.0,4703.0,748.0,563.0,5.0,5.0,5.0,5.0,10.0,10.0,85.0,120.0,803.0,1314.0,86.0,120.0,40304.0,52927.0
c180cf15-e68a-4136-9b03-c33220dc5738,16.0,17.0,30.0,27.0,304.0,411.0,80.0,100.0,150.0,375.0,2297.0,4993.0,554.0,752.0,5.0,5.0,5.0,5.0,10.0,10.0,93.0,147.0,876.0,1314.0,94.0,148.0,28622.0,61106.0
c24ab734-cf32-40d2-a0d5-25c363984387,15.0,12.0,28.0,27.0,394.0,248.0,75.0,65.0,370.0,365.0,4346.0,1621.0,517.0,501.0,5.0,5.0,5.0,5.0,10.0,10.0,75.0,81.0,657.0,657.0,75.0,81.0,29883.0,20412.0
c3371eb6-e365-456e-b90a-b3f7fdcdfc26,15.0,,31.0,,344.0,,50.0,,180.0,,1837.0,,493.0,,5.0,,5.0,,11.0,,23.0,,219.0,,24.0,,7983.0,
c7650b38-6fb9-4305-bf13-d4f8a40b4dbe,23.0,,23.0,,548.0,,205.0,,365.0,,6441.0,,532.0,,5.0,,5.0,,10.0,,63.0,,584.0,,62.0,,34772.0,
cb952516-48ff-4504-a9e6-080161ee7f8d,15.0,21.0,23.0,33.0,370.0,519.0,85.0,110.0,380.0,310.0,3071.0,2702.0,621.0,597.0,5.0,5.0,5.0,5.0,10.0,10.0,112.0,73.0,876.0,803.0,112.0,73.0,41968.0,38256.0
ccb6e01b-3dc3-4f63-b1dc-f028fce9463f,18.0,12.0,24.0,39.0,442.0,260.0,155.0,50.0,365.0,735.0,4019.0,1340.0,602.0,574.0,5.0,5.0,5.0,5.0,10.0,10.0,84.0,56.0,730.0,584.0,85.0,57.0,37545.0,14771.0
cd031b30-d6b4-479f-877f-7a8467135ea4,13.0,16.0,17.0,16.0,389.0,454.0,90.0,150.0,145.0,135.0,2537.0,7333.0,691.0,672.0,5.0,5.0,5.0,5.0,10.0,10.0,142.0,195.0,876.0,1314.0,142.0,194.0,55923.0,89569.0
cd20f78a-3ab7-4bb5-b400-e4af17ddef1f,17.0,14.0,29.0,48.0,558.0,329.0,115.0,80.0,305.0,560.0,8941.0,2911.0,623.0,549.0,5.0,5.0,5.0,5.0,10.0,10.0,93.0,40.0,876.0,511.0,94.0,41.0,52444.0,13508.0
cf5aaf0c-8b7b-4781-9109-cd32e2b8588e,14.0,15.0,32.0,26.0,378.0,403.0,50.0,95.0,100.0,170.0,2018.0,2731.0,593.0,588.0,5.0,5.0,5.0,5.0,10.0,10.0,94.0,156.0,876.0,1314.0,93.0,156.0,35917.0,63483.0
d0a1ab1f-7d61-4071-a0e5-21d31dcbf7d4,17.0,15.0,48.0,153.0,401.0,224.0,100.0,30.0,765.0,730.0,1816.0,480.0,569.0,224.0,5.0,5.0,5.0,5.0,10.0,20.0,60.0,12.0,803.0,438.0,61.0,13.0,24480.0,2724.0
d1ac58f8-4334-4249-ad23-1746fed138b1,21.0,20.0,16.0,21.0,502.0,537.0,100.0,180.0,80.0,115.0,3711.0,5720.0,613.0,572.0,5.0,5.0,5.0,5.0,10.0,10.0,117.0,157.0,876.0,1314.0,116.0,157.0,59210.0,85278.0
d1ff441d-a66a-45ab-b1b2-372042b29762,14.0,16.0,26.0,22.0,397.0,432.0,75.0,80.0,400.0,170.0,3368.0,3097.0,594.0,592.0,5.0,5.0,5.0,5.0,10.0,10.0,106.0,148.0,876.0,1168.0,107.0,148.0,42715.0,64447.0
