device_id,f_wifi_most_frequent_wifi_ni_wkend_half_sem_2017-01-18,f_wifi_most_frequent_wifi_ni_wkend_half_sem_2017-03-01,f_wifi_number_samples_wifi_ni_wkend_half_sem_2017-01-18,f_wifi_number_samples_wifi_ni_wkend_half_sem_2017-03-01,f_wifi_number_unique_wifi_hotspots_ni_wkend_half_sem_2017-01-18,f_wifi_number_unique_wifi_hotspots_ni_wkend_half_sem_2017-03-01
ee6eb822-8fdb-4821-b759-5dedcfadd2f2,,ac:a3:1e:05:b6:91,268.0,385.0,32.0,26.0
f2eb226f-61b4-44b9-8e1d-4f6de1438a29,,9c:1c:12:c7:9b:01,,2222.0,,282.0
f4f84e15-621a-4900-96f1-a8d058066570,,9c:1c:12:c6:7f:31,,42.0,,9.0
f5de7b18-5058-41c2-b957-da926c7dcba9,24:de:c6:f0:98:33,24:de:c6:f0:98:33,267.0,249.0,16.0,20.0
f7ea4330-8f1c-4042-b5ea-13726c70efb1,ac:a3:1e:f3:0c:90,ac:a3:1e:d2:5a:d0,99.0,124.0,12.0,7.0
f92b4712-d45b-4aa6-bacc-fee783b55290,9c:1c:12:e2:2e:51,9c:1c:12:e2:2e:51,163.0,366.0,9.0,8.0
fc56152c-3430-4952-88cc-f52240fa3092,,ac:a3:1e:d2:1a:30,,156923.0,,2004.0
fd5999a3-6d93-4479-8a7a-91fb7f8f0270,,,170.0,230.0,19.0,32.0
fe880b1f-df9c-476f-a7b3-ac363000fee7,,,353.0,525.0,45.0,65.0
fe94368f-79f1-48b2-a40e-234130e09164,,00:1a:1e:8a:ef:81,,184.0,,9.0
