device_id,f_steps_avg_length_active_bout_minutes_ev_half_sem_2017-01-18,f_steps_avg_length_active_bout_minutes_ev_half_sem_2017-03-01,f_steps_avg_length_sedentary_bout_minutes_ev_half_sem_2017-01-18,f_steps_avg_length_sedentary_bout_minutes_ev_half_sem_2017-03-01,f_steps_avg_step_active_bout_ev_half_sem_2017-01-18,f_steps_avg_step_active_bout_ev_half_sem_2017-03-01,f_steps_max_length_active_bout_minutes_ev_half_sem_2017-01-18,f_steps_max_length_active_bout_minutes_ev_half_sem_2017-03-01,f_steps_max_length_sedentary_bout_minutes_ev_half_sem_2017-01-18,f_steps_max_length_sedentary_bout_minutes_ev_half_sem_2017-03-01,f_steps_max_step_active_bout_ev_half_sem_2017-01-18,f_steps_max_step_active_bout_ev_half_sem_2017-03-01,f_steps_max_steps_ev_half_sem_2017-01-18,f_steps_max_steps_ev_half_sem_2017-03-01,f_steps_min_length_active_bout_minutes_ev_half_sem_2017-01-18,f_steps_min_length_active_bout_minutes_ev_half_sem_2017-03-01,f_steps_min_length_sedentary_bout_minutes_ev_half_sem_2017-01-18,f_steps_min_length_sedentary_bout_minutes_ev_half_sem_2017-03-01,f_steps_min_step_active_bout_ev_half_sem_2017-01-18,f_steps_min_step_active_bout_ev_half_sem_2017-03-01,f_steps_num_active_bout_ev_half_sem_2017-01-18,f_steps_num_active_bout_ev_half_sem_2017-03-01,f_steps_num_samples_steps_ev_half_sem_2017-01-18,f_steps_num_samples_steps_ev_half_sem_2017-03-01,f_steps_num_sedentary_bout_ev_half_sem_2017-01-18,f_steps_num_sedentary_bout_ev_half_sem_2017-03-01,f_steps_sum_steps_ev_half_sem_2017-01-18,f_steps_sum_steps_ev_half_sem_2017-03-01
e9d0cdd9-b664-453d-9bcf-c5f560519dc9,29,21.0,145,155.0,513,512.0,1105,1145.0,1275,1250.0,20134,48186.0,648,603.0,5,5.0,5,5.0,10,10.0,345,514.0,12096,18144.0,346,515.0,179790,274456.0
eb8051d8-bc9c-47f9-b663-89583b35f37b,52,71.0,133,120.0,1100,1445.0,1215,1220.0,1345,2575.0,67929,97328.0,790,635.0,5,5.0,5,5.0,10,10.0,325,367.0,12096,14112.0,326,368.0,361470,531791.0
ec54b478-47e0-444d-90a1-bfb45b416bee,52,29.0,105,135.0,1343,391.0,1230,1110.0,1470,2580.0,128826,10198.0,874,741.0,5,5.0,5,5.0,10,10.0,356,321.0,11232,10656.0,357,322.0,485300,137119.0
ee099a8f-8baf-408e-bf0f-3cf1a3d51790,53,51.0,116,120.0,820,1046.0,1165,1175.0,1485,2530.0,38762,79586.0,626,843.0,5,5.0,5,5.0,10,10.0,337,450.0,11520,15552.0,338,451.0,281086,481388.0
ee6eb822-8fdb-4821-b759-5dedcfadd2f2,42,,198,,972,,1145,,5415,,49032,,590,,5,,5,,10,,125,,6048,,126,,125161,
f2eb226f-61b4-44b9-8e1d-4f6de1438a29,67,86.0,106,82.0,2388,4658.0,1190,1165.0,1450,1380.0,98645,130753.0,560,605.0,5,5.0,5,5.0,10,10.0,348,538.0,12096,18144.0,348,539.0,835938,2520195.0
f4f84e15-621a-4900-96f1-a8d058066570,69,61.0,90,98.0,2063,1568.0,1170,1200.0,1440,1395.0,109228,123901.0,727,805.0,5,5.0,5,5.0,10,10.0,377,569.0,12096,18144.0,378,569.0,783133,908034.0
f5de7b18-5058-41c2-b957-da926c7dcba9,58,56.0,82,100.0,1626,1946.0,1180,1230.0,1195,1305.0,100814,129110.0,651,612.0,5,5.0,5,5.0,10,10.0,428,576.0,12096,18144.0,429,577.0,701466,1134197.0
f7ea4330-8f1c-4042-b5ea-13726c70efb1,59,49.0,89,100.0,1280,878.0,1220,1125.0,2535,2550.0,83317,83505.0,878,628.0,5,5.0,5,5.0,10,10.0,408,601.0,12096,18144.0,409,602.0,533151,541377.0
f92b4712-d45b-4aa6-bacc-fee783b55290,59,48.0,95,142.0,1456,1276.0,1180,1145.0,1315,2785.0,144551,86957.0,817,796.0,5,5.0,5,5.0,10,10.0,391,467.0,12096,17856.0,392,468.0,577002,600464.0
fc56152c-3430-4952-88cc-f52240fa3092,35,51.0,136,109.0,822,1046.0,1105,1135.0,2520,1240.0,68408,74163.0,840,822.0,5,5.0,5,5.0,10,10.0,351,566.0,12096,18144.0,350,566.0,294965,609586.0
fd5999a3-6d93-4479-8a7a-91fb7f8f0270,97,98.0,68,76.0,2796,2593.0,1305,1315.0,1390,2520.0,104814,93962.0,696,796.0,5,5.0,5,5.0,10,10.0,364,354.0,12096,12384.0,365,355.0,1025995,925432.0
fe880b1f-df9c-476f-a7b3-ac363000fee7,64,67.0,95,121.0,1549,995.0,1180,1190.0,1475,2555.0,68935,23780.0,752,778.0,5,5.0,5,5.0,10,10.0,198,121.0,6336,4608.0,198,122.0,313375,120932.0
fe94368f-79f1-48b2-a40e-234130e09164,49,40.0,87,123.0,1284,763.0,1140,1135.0,1295,2885.0,86795,84689.0,611,769.0,5,5.0,5,5.0,10,10.0,442,553.0,12096,18144.0,443,554.0,579403,434910.0
